card_number,card_name,card_meaning,card_detail
1,Rider,"News, a visitor, or something approaching.","I always bring news, look around me to understand what it concerns. I may come to visit you or bring you some change. I am fast and always on the move. If you see a negative card near me you probably won't like the answer. The Lenormand Knight brings news. It is the first card and announces new things. In the Gilded Reverie deck we see a dreamy female knight sitting astride a carousel horse; the horse that in fairy tales is the bearer of messages. She could even be Iris, Greek goddess messenger of the gods. The sling bag across her shoulder may be indicative of further messages for different destinations along her nightly journey. In her hands she holds a white envelope, a letter that is outside the bag and is ready to be delivered and read in the envelope. The carousel is an ideal metaphor for how this card represents a new cycle that is starting and the end of an old situation. The up and down of the carousel also symbolizes the 'magic flight' that gives power to this messenger to reach his destination. Freed from the eternal spinning of the 'Carousel of Life', whose circular movements are also defined by the laws of physics as acceleration, our Knight, in a symbolic way, reflects the rhythm and speed of information by which our lives are more and more affection."
2,Clover,"Luck, happiness, or a small win.","I bring you happiness and luck. I make things better and as long as I have no negative cards after me I will turn your difficulties into opportunities. I am the beautiful surprises and happy sighs. This card depicts an explosive reverie of four-leaf clovers. Both clovers and four-leaf clovers, with white flowers, are set against the backdrop of an idyllic day. Everything is vibrant with green, fertile and promises of growth and fortune. The white of the flowers symbolizes the purity of luck. Wherever this card is, all is well. In the language of flowers, white is also known to be a symbol of remembrance; the card can mean that someone from afar is thinking of you. In Ireland the shamrock is commonly associated with luck. However, since the four-leaf clover has become less common, the act of finding one in nature is considered a very lucky event. The Four Leaf Clover is also known to be associated with love, passion and abandonment. Medieval poetry is full of passionate encounters between young lovers in fields of four-leaf clovers. So it can also mean being lucky in love. However, if the four-leaf clover falls near Sickle (10), expect the lucky of love to be short-lived!"
3,Ship,"Travel, movement, or journey.","I'm taking you on vacation or a business trip. You'll need a suitcase for where we're going. I'm known for distance and I'm constantly on the move. Look at the cards near me for clues and suggestions to the changes I bring on your life journey . A journey must be undertaken. There are new horizons to explore and preparation is necessary to ensure favorable transitions. In the original 'Game of Hope', in which we find the first publication of the Lenormand symbols, this is indicated as an auspicious voyage, so much so that the traveler will be 'happily carried by the ship to the Land of the Birds' . Promises well! In the Gilded Reverie this card is represented as a fantastic flying ship, an elaborate brig, which takes us to new sights and panoramas. While in the original card the image depicted a ship, in subsequent decks it was changed to long-distance transport depending on the fashion of the period, for example a train or a plane. Regardless it generally means long distance travel. The nature of the trip will usually be pleasant and very favorable, like a holiday for example, depending as always on the cards surrounding it."
4,House,"Home, family, or security.","I am your family and your foundation, your land and your home. I give you stability and comfort. I am your organization and your living environment. I am your surroundings and your possessions. The cards around me they will give indications on my present state or on what will be decided in the future. In this card a shrine must be found, showing us family and home. The sanctuary that offers us a refuge from the world. In the Gilded Reverie the paper is depicted in such a way as to lure us back home like the nostalgic places of childhood fairy tales. The house is built with gnarled roots that give the impression of a place of permanent fixtures and security. The open garden gate speaks to us of an opening that is made available. The house can be one of the most interesting ways to date a Lenormand deck, as each deck tends to both turn to the past and choose contemporary buildings to represent. Some decks show very functional buildings, others highly inspired manor houses. However it is depicted, it represents what we think of our home, our home, our security."
5,Tree,"Health, growth, or life.","I am here to stay and grow. I am the health of your body, your mind, your soul. Look at the cards near me to find out more about me. When there are negative cards, prepare some tissues for the your nose. It is a sign of health and longevity and is the imperative to put down one's roots to ensure a secure future. The presence of this card may indicate a hereditary health condition. Combined with the house card we have a 'tree house' which speaks to us of safety but at the same time of great family responsibility, and of the possibility of illness due to stress. The tree here is also depicted as The Tree of Life, a spiritual symbol that has its roots in the most ancient populations. Whatever the image of the tree - Babylonian, Egyptian or Jewish - it still speaks to us of antiquity and archaic roots. The meaning of the card can also be seen in the rainbow, perhaps suggesting that true health must be found by aligning ourselves between what is above and what is below. The harmony of colors reflecting through the tree symbolizes the holistic nature of healing and life itself."
6,Clouds,"Confusion, uncertainty, or temporary problems.","I am dark on one side and bright on the other. Conflicts and doubts I will surely bring you. You will not be able to see clearly, I will block your perception and let confusion reign. One thing I promise you for sure, however, is that I will pass, because the sun always shines again after the storm has passed. The card symbolizes forebodings and changes, and the negative or positive influence is expressed by the direction of the dark part of the cloud. The birds soaring on the right side of the card and the glorious breaking of the sun promise liberation from uncertainty. This card can also warn against obscuring a truth; There is a lack of clarity regarding a situation, something needs to be revealed. A revelation may be imminent. The darkest aspects of the card are found at the bottom left, where we see some lightning strike the tree of the previous card. This image reflects uncertainty and confusion. In some Lenormand reading methods the two sides of the card - the bright one and the dark one - are used to see if the confusion is before us or after us. In reverie we can also see if it is above or below us. This can be particularly useful in a reading of the Grand Tableau, where the diagonals are also looked at - a more advanced system of reading."
7,Snake,"Deception, complications, or a rival.","Be careful of me because I always hide. You cannot believe me or trust me. I cheat, deceive and betray you in an instant. Watch where you walk and what you step on, my fangs will definitely make you fear. In the Game of Hope it is clearly said to stay safe from the bite of this dangerous snake. You must be scared, very scared, as a betrayal can probably lurk in the cards near where this card is located. Beware of a superficial person, a person inclined to be mischievous, particularly when combined with the Dog card (18), which quite literally means that a cantankerous friend will harm you. False behavior and a two-faced individual can be a problem. The card warns you to be careful and watch where you step. Our Serpent here is found in an apple tree and also alludes to the Garden of Eden, in which there was the original interruption of the happy relationship that we have seen in previous cards, such as House (4). The Lenormands are firmly rooted in Christian tradition, for example the Cross (36) and even the Garden (20) were seen in the original game as biblical places. So be wary and look carefully at the cards next to the Serpent to find out what the nature of the evil/danger is in your situation."
8,Coffin,"Endings, illness, or transformation.","I am the painful change and transition. You will feel me through your body, your mind and certainly your wallet. Depression, loss and failure are my specialties. I am illness and bed rest. I am the end all things and sometimes death. The coffin of the Reverie deck recalls the ancient Egyptian period. Although it is traditionally seen as an end or finality, it is also a symbol of an initiation that leads us to a reevaluation of our life's purpose. It often happens that when we face life-changing events or illnesses they lead us to reevaluate the most important aspects of our existence. Here, in the world of Reverie, the Coffin is depicted in the form of a sarcophagus, flanked by the imposing figure of Anubis, the god of embalming and protector of the dead. One of his roles is to ascertain, by weighing the heart, the merit of people to enter the afterlife. The meaning of this card may be the actual end of something as we know it."
9,Bouquet,"Gifts, happiness, or an invitation.","I bring beauty and a happy face. I am the gift that warms your heart. I am your rest and well-being. No matter what card lies before me, I will always change it in a positive way. What is it like when someone gives you a gift? This card is a fragrant scent of joy and happiness, a demonstration of appreciation that is on its way. Here is an image of a bouquet of pink tulips that speak the 'language of flowers'. In the Victorian era, flowers were often used as a means of communication. They became lovers' code, a perfect way to secretly express love, passion and appreciation. Long before the Victorian period, the Tulip was highly esteemed and considered so desirable that it caused a phenomenon called 'Tulipomania'. Thus, the presence of this card signifies a precious gift that can be given or received. The fact that in the image there is a label containing the name of the deck is a reference to previous decks, which often had the publisher's stamp embossed on one of the cards. In many old Lenormands the flag of the publisher's city was found on the Ship card (3), for example. When combined with cards like the Knight (1) or the Letter (27), the bouquet becomes a beautiful invitation. Also together with Garden (20) it can mean an invitation to a party. With Torre (19) however it could be a less desirable invitation for a hospital appointment. At least you'll have flowers in your room."
10,Scythe,"Sudden endings, danger, or harvest.","For everything there is its time and time for every matter under heaven (Ecclesiastes, 3). Be careful, I'm fast and sharp. Cutting precisely, with sharp and clear vision. They are an accident, a deep cut, a break or sometimes a difficult decision that needs to be made. I can bring you a good harvest or danger. Look at nearby cards to see what I'm mowing down, it might just be your wages. This item is a simple agricultural tool used to clear grass and mow grain at harvest time. In the world of Lenormand it symbolizes a sudden trauma or shock that will take you by surprise. A quick and clear cut will be made. It is also dangerous, as much as it is sharp. You have to be careful where this card points, particularly in the Grand Tableau. Cards that are near the tip of the blade modify its influence, making it more or less extreme in its impact. For example, the Scythe near Cloverleaf (2) will make the shock less severe. It's almost as if the act of cutting the Four Leaf Clover (luck) blunts the blade. This symbol can also represent a 'call to action', particularly when combined with cards such as the Knight (1)."
